秋元真夏	赤	桃
生田絵梨花	黄	黄
生駒里奈	水	青
伊藤寧々	桃	橙
伊藤万理華	緑	紫
井上小百合	白	白
衛藤美彩	赤	赤
川後陽菜	赤	赤
川村真洋	赤	白
齋藤飛鳥	水	白
斎藤ちはる	青	赤
斉藤優里	桃	白
桜井玲香	赤	桃
白石麻衣	水	水
高山一実	水	桃
中田花奈	黒	白
中元日芽香	桃	桃
永島聖羅	黄	黄
西野七瀬	緑	白
能條愛未	橙	橙
橋本奈々未	緑	緑
畠中清羅	青	桃
樋口日奈	紫	橙
深川麻衣	緑	紫
星野みなみ	白	白
松村沙友理	赤	赤
大和里奈	桃	白
若月佑美	青	青
和田まあや	黄	橙
伊藤かりん	緑	紫
伊藤純奈	水	桃
柏幸奈	桃	桃
北野日奈子	桃	黄緑
相楽伊織	緑	橙
佐々木琴子	青	緑
新内眞衣	青	紫
鈴木絢音	白	紫
寺田蘭世	赤	白
堀未央奈	白	橙
矢田里沙子	桃	桃
山崎怜奈	黄	白
米徳京花	水	青
渡辺みり愛	黄	黄緑
伊藤理々杏	紫	赤
岩本蓮加	赤	桃
梅澤美波	青	水
大園桃子	桃	緑
久保史緒里	水	黄
阪口珠美	紫	黄
佐藤楓	赤	赤
中村麗乃	青	白
向井葉月	黄	黄
山下美月	青	黄
吉田綾乃	桃	紫
与田祐希	赤	緑
遠藤さくら	桃	白
賀喜遥香	橙	緑
掛橋沙耶香	桃	橙
金川紗耶	水	赤
北川悠理	水	橙
柴田柚菜	青	黄緑
清宮レイ	橙	橙
田村真佑	紫	水
筒井あやめ	紫	紫
早川聖来	青	青
矢久保美緒	桃	黄
黒見明香	紫	緑
佐藤璃果	桃	ターコイズ
林瑠奈	桃	桃
松尾美佑	ターコイズ	白
弓木奈於	赤	黄緑
